group_id,component,D_A2_per_ns,source_file
mucin_Q024,mucin,0.04748,diffusion_coefficients_mucins.txt
mucin_Q01v,mucin,0.0572,diffusion_coefficients_mucins.txt
mucin_Q02d,mucin,0.09035,diffusion_coefficients_mucins.txt
mucin_Q02i,mucin,0.11175,diffusion_coefficients_mucins.txt
mucin_Q02b,mucin,0.08499,diffusion_coefficients_mucins.txt
mucin_Q026,mucin,0.05661,diffusion_coefficients_mucins.txt
mucin_Q02c,mucin,0.09955,diffusion_coefficients_mucins.txt
mucin_Q02g,mucin,0.0976,diffusion_coefficients_mucins.txt
mucin_Q02h,mucin,0.08219,diffusion_coefficients_mucins.txt
mucin_Q02a,mucin,0.20148,diffusion_coefficients_mucins.txt
mucin_Q025,mucin,0.09607,diffusion_coefficients_mucins.txt
mucin_Q02j,mucin,0.05302,diffusion_coefficients_mucins.txt
mucin_Q02k,mucin,0.09225,diffusion_coefficients_mucins.txt
mucin_Q02l,mucin,0.08358,diffusion_coefficients_mucins.txt
mucin_Q028,mucin,0.09495,diffusion_coefficients_mucins.txt
mucin_Q02n,mucin,0.07592,diffusion_coefficients_mucins.txt
mucin_Q02u,mucin,0.06951,diffusion_coefficients_mucins.txt
mucin_Q02o,mucin,0.03132,diffusion_coefficients_mucins.txt
mucin_Q02p,mucin,0.07963,diffusion_coefficients_mucins.txt
mucin_Q02x,mucin,0.09129,diffusion_coefficients_mucins.txt
mucin_Q02v,mucin,0.12017,diffusion_coefficients_mucins.txt
mucin_Q02q,mucin,0.0684,diffusion_coefficients_mucins.txt
mucin_Q02r,mucin,0.07884,diffusion_coefficients_mucins.txt
mucin_Q02w,mucin,0.0695,diffusion_coefficients_mucins.txt
mucin_Q035,mucin,0.09615,diffusion_coefficients_mucins.txt
mucin_Q031,mucin,0.11103,diffusion_coefficients_mucins.txt
mucin_Q032,mucin,0.14307,diffusion_coefficients_mucins.txt
mucin_Q030,mucin,0.03605,diffusion_coefficients_mucins.txt
mucin_Q036,mucin,0.1232,diffusion_coefficients_mucins.txt
mucin_Q033,mucin,0.07716,diffusion_coefficients_mucins.txt
mucin_Q037,mucin,0.06782,diffusion_coefficients_mucins.txt
mucin_Q02z,mucin,0.09708,diffusion_coefficients_mucins.txt
mucin_Q038,mucin,0.19228,diffusion_coefficients_mucins.txt
mucin_Q039,mucin,0.10783,diffusion_coefficients_mucins.txt
mucin_Q03e,mucin,0.12407,diffusion_coefficients_mucins.txt
mucin_Q03a,mucin,0.16068,diffusion_coefficients_mucins.txt
mucin_Q03c,mucin,0.10142,diffusion_coefficients_mucins.txt
mucin_Q03b,mucin,0.08683,diffusion_coefficients_mucins.txt
mucin_Q03f,mucin,0.07889,diffusion_coefficients_mucins.txt
mucin_Q03g,mucin,0.11011,diffusion_coefficients_mucins.txt
mucin_T000,mucin,0.06905,diffusion_coefficients_mucins.txt
mucin_T002,mucin,0.11463,diffusion_coefficients_mucins.txt
mucin_T006,mucin,0.15626,diffusion_coefficients_mucins.txt
mucin_T00b,mucin,0.04489,diffusion_coefficients_mucins.txt
mucin_T00c,mucin,0.09725,diffusion_coefficients_mucins.txt
mucin_T007,mucin,0.09354,diffusion_coefficients_mucins.txt
mucin_T008,mucin,0.06404,diffusion_coefficients_mucins.txt
mucin_T003,mucin,0.12872,diffusion_coefficients_mucins.txt
mucin_T00h,mucin,0.11469,diffusion_coefficients_mucins.txt
mucin_T005,mucin,0.07643,diffusion_coefficients_mucins.txt
mucin_T00a,mucin,0.04049,diffusion_coefficients_mucins.txt
mucin_T00j,mucin,0.0685,diffusion_coefficients_mucins.txt
mucin_T00l,mucin,0.10428,diffusion_coefficients_mucins.txt
mucin_T00i,mucin,0.06634,diffusion_coefficients_mucins.txt
mucin_T00m,mucin,0.07168,diffusion_coefficients_mucins.txt
mucin_T00g,mucin,0.04628,diffusion_coefficients_mucins.txt
